电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,评分,评分人数,domestic_boxoffice,international_boxoffice,worldwide_boxoffice
爆裂鼓手 Whiplash,达米恩·查泽雷,达米恩·查泽雷,迈尔斯·特勒/J·K·西蒙斯/保罗·雷瑟/梅莉莎·班诺伊/奥斯汀·斯托维尔/内特·朗/克里斯·马尔基/达蒙·冈普顿/SuanneSpoke/马科斯·卡锡/CharlieIan/杰森·布莱尔/科菲·斯里博伊/卡维塔帕蒂尔/C.J.Vana/塔里克·洛维/卡尔文·C·温布什/迈克尔·D·科恩/艾普尔·格雷斯/马库斯·亨德森/亨利·G.桑德斯/温迪·李/米歇尔·拉夫,剧情/音乐,美国,英语,2014-01-16(圣丹斯电影节)/2014-10-10(美国),107分钟,鼓动真我(港)/进击的鼓手(台)/鼓动人生(台)/鞭打/TheWhiplashDrummer,tt2582802,8.7,491432,"$13,092,000","$36,304,747","$49,396,747"
贫民窟的百万富翁 Slumdog Millionaire,丹尼·博伊尔/洛芙琳·坦丹,西蒙·博福伊/维卡斯·史瓦卢普,戴夫·帕特尔/沙鲁巴·舒克拉/亚尼·卡普/拉詹德拉纳斯·祖特施/吉尼瓦·塔瓦尔/芙蕾达·平托/伊尔凡·可汗/爱资哈尔丁·穆罕默德·伊斯梅尔/阿什·马赫什·舍德卡/马赫什·曼杰瑞卡/麦活·米泰尔,剧情/爱情,英国,英语/印地语/法语/德语,2009-03-26(中国大陆)/2008-08-30(特柳赖德电影节)/2009-01-09(英国),120分钟,一百万零一夜(港)/贫民百万富翁(台)/贫民富翁/山寨富翁/阳光小阿三(豆友译名),tt1010048,8.6,656118,"$141,319,928","$237,090,614","$378,410,542"
东邪西毒 東邪西毒,王家卫,王家卫/金庸,张国荣/林青霞/梁朝伟/张学友/张曼玉/刘嘉玲/梁家辉/杨采妮/邹兆龙,剧情/动作/爱情/武侠/古装,中国香港/中国台湾,粤语/汉语普通话,1994-09-17(中国大陆)/1994-09-12(威尼斯电影节),100分钟,AshesofTime,tt0109688,8.6,508582,"$174,273","$1,802,925","$1,977,198"
小偷家族 万引き家族,是枝裕和,是枝裕和,中川雅也/安藤樱/松冈茉优/城桧吏/佐佐木美结/树木希林/绪形直人/池松壮亮/森口瑶子/山田裕贵/片山萌美/柄本明/高良健吾/池胁千鹤/足立智充,剧情/家庭/犯罪,日本,日语,2018-08-03(中国大陆)/2018-05-13(戛纳电影节)/2018-06-08(日本),117分钟(中国大陆)/121分钟,Shoplifters/UneAffairedeFamille/Manbikikazoku,tt8075192,8.7,716576,"$3,313,513","$64,685,822","$67,999,335"
无敌破坏王 Wreck-It Ralph,瑞奇·摩尔,菲尔·约翰斯顿/珍妮弗·李/瑞奇·摩尔/吉姆·里尔顿/约翰·C·赖利/山姆·J·莱文/贾里德·斯特恩,约翰·C·赖利/萨拉·西尔弗曼/杰克·麦克布瑞尔/简·林奇/艾伦·图代克/敏迪·卡灵/乔·洛·特鲁格里奥/艾德·奥尼尔/丹尼斯·海斯伯特/伊迪·麦克勒格/雷蒙德·S·佩尔西/杰斯·哈梅尔/瑞秋·哈里斯/斯盖拉·阿斯丁/亚当·卡罗拉/霍拉提奥·桑斯/莫里斯·拉马奇/斯戴芬妮·斯考特/约翰·迪·马吉欧/瑞奇·摩尔/凯蒂·洛斯/贾米·埃曼/乔西·特立尼达/辛贝·沃克/塔克·吉莫尔/布兰登·斯考特/蒂姆·梅尔滕斯/凯文·迪特斯/杰洛·里佛斯/马丁·贾维斯/布莱恩·克辛格/罗杰·克莱格·史密斯/菲尔·约翰斯顿/鲁本·兰登/凯尔·赫伯特/洁米·斯贝勒·罗伯茨/尼克·格里姆肖,喜剧/动画/奇幻/冒险,美国,英语,2012-11-06(中国大陆)/2012-11-02(美国),101分钟,破坏王拉尔夫/破坏王大冒险,tt1772341,8.7,459328,"$189,422,889","$281,800,000","$471,222,889"
波西米亚狂想曲 Bohemian Rhapsody,布莱恩·辛格,安东尼·麦卡滕/皮特·摩根,拉米·马雷克/本·哈迪/约瑟夫·梅泽罗/格威利姆·李/艾伦·里奇/露西·宝通/艾丹·吉伦/汤姆·霍兰德/麦克·梅尔斯/阿隆·麦克卡斯克/梅内卡·达斯/迪基·博/蒂姆·普莱斯特/杰克·罗思/马克斯·班内特/基兰·哈德卡斯托/罗斯·格林/布鲁斯·麦克金伦/米歇尔·邓肯/马特·格林伍德/罗茜·本杰明/约翰·奥特曼/詹姆斯·华莱士/文森特·阿德里安/拉斯科·阿特金斯/乔纳森·奇塔姆/迈克尔·科布/耶稣·加洛/亚当·兰伯特/豪尔赫·莱昂·马丁内斯/杰森·莱恩斯/伊斯雷尔·鲁兹,剧情/同性/音乐/传记,英国/美国,英语,2019-03-22(中国大陆)/2018-11-02(美国),135分钟/131分钟(中国大陆),波希米亚狂想曲：摇滚传说(港)/波希米亚狂想曲(台),tt1727824,8.7,504267,"$216,668,042","$694,432,685","$911,100,727"
小森林 冬春篇 リトル・フォレスト 冬・春,森淳一,森淳一/五十岚大介,桥本爱/三浦贵大/松冈茉优/温水洋一/桐岛加恋,剧情,日本,日语,2015-02-14(日本),120分钟,小森食光/冬春篇(台)/LittleForest,tt3474602,9.0,327614,None,None,None
色，戒,李安,王蕙玲/詹姆斯·夏慕斯/张爱玲,梁朝伟/汤唯/陈冲/王力宏/庹宗华/朱芷莹/高英轩/柯宇纶/阮德锵/钱嘉乐/苏岩/何赛飞/宋茹惠/樊光耀/卢燕/刘洁/余娅/王琳/王侃/竹下明子/阿努潘·凯尔,剧情/爱情/情色,中国台湾/中国大陆/美国/中国香港,汉语普通话/上海话/英语/粤语/日语/印地语,2007-11-01(中国大陆)/2007-09-24(中国台湾)/2007-09-26(中国香港)/2007-08-30(威尼斯电影节)/2007-10-26(美国),158分钟/145分钟(中国大陆),"色|戒/色·戒/色戒/Lust,Caution",tt0808357,8.5,621075,"$4,604,982","$62,486,933","$67,091,915"
虎口脱险 La grande vadrouille,热拉尔·乌里,热拉尔·乌里/达妮埃尔·汤普森/马塞尔·朱利安/乔治·塔贝/安德烈·塔贝,路易·德·菲奈斯/布尔维尔/克劳迪奥·布鲁克/安德丽·帕里西/科莱特·布罗塞/迈克·马歇尔/玛丽·马凯/皮埃尔·贝尔坦/本诺·施特岑巴赫/玛丽·杜布瓦/特里-托马斯/西戈德·拉普/赖因哈德·科尔德霍夫/赫尔穆特·施奈德/保罗·普雷博伊斯特/汉斯·迈尔/居伊·格罗索/米歇尔·莫多/彼得·雅各布/吕迪·勒努瓦/诺埃尔·达扎尔/皮埃尔·鲁塞尔/皮埃尔·巴斯蒂安/雅克·萨布隆/玛格·阿夫里尔/雅克·博杜因/加布里埃尔·戈班/保罗·梅塞/亨利·热内斯,喜剧/战争,法国/英国,法语/英语/德语,1966-12-08(法国),132分钟/124分钟(蓝光修复版)/122分钟(4K修复版),横冲直撞出重围(港)/大進擊(台)/Don'tLookNow...We'reBeingShotAt!,tt0060474,8.9,211916,None,None,None
彗星来的那一夜 Coherence,詹姆斯·沃德·布柯特,詹姆斯·沃德·布柯特/亚历克斯·马努吉安,艾米丽·芭尔多尼/莫瑞·史特林/尼古拉斯·布兰登/劳伦·斯卡法莉娅/伊丽莎白·格瑞斯/雨果·阿姆斯特朗/亚历克斯·马努吉安/劳伦·马赫,科幻/悬疑/惊悚,美国/英国,英语,2013-09-19(奇幻电影节)/2014-08-06(美国),89分钟,相干性/相干效应,tt2866360,8.5,463904,"$102,617","$37,128","$139,745"
花样年华 花樣年華,王家卫,王家卫,梁朝伟/张曼玉/潘迪华/萧炳林/张耀扬/孙佳君/钱似莺/顾锦华,剧情/爱情,中国香港,粤语/上海话/法语,2000-09-29(中国香港)/2000-05-20(戛纳电影节),98分钟,IntheMoodforLove,tt0118694,8.7,503716,"$2,738,980","$11,402,212","$14,141,192"
