id,rank,title,fullTitle,year,image,crew,imDbRating,imDbRatingCount,domestic_boxoffice,international_boxoffice,worldwide_boxoffice
tt8267604,76,Capernaum,Capernaum (2018),2018,"https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.3,77912,"$1,661,096","$62,755,907","$64,417,003"
tt0082096,77,Das Boot,Das Boot (1981),1981,"https://m.media-amazon.com/images/M/MV5BOGZhZDIzNWMtNjkxMS00MDQ1LThkMTYtZWQzYWU3MWMxMGU5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX128_CR0,3,128,176_AL_.jpg","Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,242196,"$11,487,676",None,"$11,487,676"
tt0057565,78,High and Low,High and Low (1963),1963,"https://m.media-amazon.com/images/M/MV5BOTI4NTNhZDMtMWNkZi00MTRmLWJmZDQtMmJkMGVmZTEzODlhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX128_CR0,3,128,176_AL_.jpg","Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.3,40404,"$46,808",None,"$46,808"
tt0169547,79,American Beauty,American Beauty (1999),1999,"https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.3,1111033,"$130,096,601","$226,200,000","$356,296,601"
tt1187043,80,3 Idiots,3 Idiots (2009),2009,"https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,1,128,176_AL_.jpg","Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3,371662,"$6,532,874","$53,729,962","$60,262,836"
tt0114709,81,Toy Story,Toy Story (1995),1995,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX128_CR0,3,128,176_AL_.jpg","John Lasseter (dir.), Tom Hanks, Tim Allen",8.3,934863,"$223,225,679","$171,210,907","$394,436,586"
tt0086879,82,Amadeus,Amadeus (1984),1984,"https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX128_CR0,3,128,176_AL_.jpg","Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.3,384880,"$51,973,029","$93,762","$52,066,791"
tt0112573,83,Braveheart,Braveheart (1995),1995,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,994687,"$75,609,945","$137,606,271","$213,216,216"
tt8503618,84,Hamilton,Hamilton (2020),2020,"https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX128_CR0,3,128,176_AL_.jpg","Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.3,76777,None,None,None
tt0361748,85,Inglourious Basterds,Inglourious Basterds (2009),2009,"https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX128_CR0,3,128,176_AL_.jpg","Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3,1347543,"$120,540,719","$200,917,028","$321,457,747"
tt0119217,86,Good Will Hunting,Good Will Hunting (1997),1997,"https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,3,128,176_AL_.jpg","Gus Van Sant (dir.), Robin Williams, Matt Damon",8.3,909325,"$138,433,435","$87,500,000","$225,933,435"
tt0086190,87,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi (1983),1983,"https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3,993989,"$309,306,177","$122,009,457","$475,106,177"
tt0062622,88,2001: A Space Odyssey,2001: A Space Odyssey (1968),1968,"https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.3,635245,"$60,405,931","$5,396,565","$65,802,496"
tt0105236,89,Reservoir Dogs,Reservoir Dogs (1992),1992,"https://m.media-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,3,128,176_AL_.jpg","Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3,965753,"$2,832,029","$81,615","$2,913,644"
tt0022100,90,M,M (1931),1931,"https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_UX128_CR0,3,128,176_AL_.jpg","Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.3,151782,"$35,566",None,"$35,566"
tt0052357,91,Vertigo,Vertigo (1958),1958,"https://m.media-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX128_CR0,3,128,176_AL_.jpg","Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.3,385386,"$7,705,225","$92,503","$7,797,728"
tt0986264,92,Like Stars on Earth,Like Stars on Earth (2007),2007,"https://m.media-amazon.com/images/M/MV5BMDhjZWViN2MtNzgxOS00NmI4LThiZDQtZDI3MzM4MDE4NTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,1,128,176_AL_.jpg","Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.3,182510,"$1,223,869","$20,673,504","$21,897,373"
tt0091251,93,Come and See,Come and See (1985),1985,"https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.3,69602,"$71,909","$20,857,159","$20,929,068"
tt0033467,94,Citizen Kane,Citizen Kane (1941),1941,"https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Orson Welles (dir.), Orson Welles, Joseph Cotten",8.3,425333,"$1,585,634","$17,603","$1,603,237"
tt2106476,95,The Hunt,The Hunt (2012),2012,"https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_UX128_CR0,1,128,176_AL_.jpg","Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.3,307310,"$613,308","$15,229,966","$15,843,274"
tt0180093,96,Requiem for a Dream,Requiem for a Dream (2000),2000,"https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.3,801232,"$3,635,482","$3,754,626","$7,390,108"
tt0045152,97,Singin' in the Rain,Singin' in the Rain (1952),1952,"https://m.media-amazon.com/images/M/MV5BZDRjNGViMjQtOThlMi00MTA3LThkYzQtNzJkYjBkMGE0YzE1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.3,230498,"$1,826,108","$38,948","$1,865,056"
tt0053125,98,North by Northwest,North by Northwest (1959),1959,"https://m.media-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX128_CR0,3,128,176_AL_.jpg","Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.3,314487,None,"$75,591","$75,591"
tt0338013,99,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind (2004),2004,"https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_UX128_CR0,3,128,176_AL_.jpg","Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.3,955690,"$34,400,301","$39,636,414","$74,036,715"
tt0040522,100,Bicycle Thieves,Bicycle Thieves (1948),1948,"https://m.media-amazon.com/images/M/MV5BNmI1ODdjODctMDlmMC00ZWViLWI5MzYtYzRhNDdjYmM3MzFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.3,156963,"$371,111","$65,544","$436,655"
tt0044741,101,Ikiru,Ikiru (1952),1952,"https://m.media-amazon.com/images/M/MV5BZmM0NGY3Y2MtMTA1YS00YmQzLTk2YTctYWFhMDkzMDRjZWQzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,3,128,176_AL_.jpg","Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.3,74441,"$60,239","$36,063","$96,302"
tt0056172,102,Lawrence of Arabia,Lawrence of Arabia (1962),1962,"https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX128_CR0,3,128,176_AL_.jpg","David Lean (dir.), Peter O'Toole, Alec Guinness",8.3,281462,"$45,306,425","$409,332","$45,715,757"
tt0012349,103,The Kid,The Kid (1921),1921,"https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX128_CR0,3,128,176_AL_.jpg","Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.2,121121,None,"$39,860","$39,860"
tt0093058,104,Full Metal Jacket,Full Metal Jacket (1987),1987,"https://m.media-amazon.com/images/M/MV5BNzkxODk0NjEtYjc4Mi00ZDI0LTgyYjEtYzc1NDkxY2YzYTgyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.2,706822,"$46,357,676",None,"$46,357,676"
tt15097216,105,Jai Bhim,Jai Bhim (2021),2021,"https://m.media-amazon.com/images/M/MV5BY2Y5ZWMwZDgtZDQxYy00Mjk0LThhY2YtMmU1MTRmMjVhMjRiXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY176_CR6,0,128,176_AL_.jpg","T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.2,136088,None,None,None
tt5074352,106,Dangal,Dangal (2016),2016,"https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UX128_CR0,1,128,176_AL_.jpg","Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.2,173932,"$12,391,761","$291,331,875","$303,723,636"
tt10272386,107,The Father,The Father (2020),2020,"https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.2,107173,"$2,122,771","$22,201,023","$24,323,794"
tt0053604,108,The Apartment,The Apartment (1960),1960,"https://m.media-amazon.com/images/M/MV5BNzkwODFjNzItMmMwNi00MTU5LWE2MzktM2M4ZDczZGM1MmViXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX128_CR0,3,128,176_AL_.jpg","Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.2,173516,"$18,600,000","$178,454","$18,778,454"
tt1255953,109,Incendies,Incendies (2010),2010,"https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,165170,"$2,071,334","$4,742,506","$6,813,840"
tt0017136,110,Metropolis,Metropolis (1927),1927,"https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.2,168022,"$1,236,166","$113,545","$1,349,711"
tt0066921,111,A Clockwork Orange,A Clockwork Orange (1971),1971,"https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_UX128_CR0,3,128,176_AL_.jpg","Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.2,791655,"$26,589,355","$315,281","$26,904,636"
tt0036775,112,Double Indemnity,Double Indemnity (1944),1944,"https://m.media-amazon.com/images/M/MV5BOTdlNjgyZGUtOTczYi00MDdhLTljZmMtYTEwZmRiOWFkYjRhXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX128_CR0,3,128,176_AL_.jpg","Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.2,151027,None,"$14,190","$14,190"
